Interval (ms)1000
month/day/year HH:MM:SS,anemometer 1 (top),anemometer 2,anemometer 3,anemometer 4
04/30/2018/ 19:32:28
4, 36, 1, 2
23, 0, 9, 0
0, 45, 0, 0
23, 0, 0, 0
0, 64, 0, 0
0, 64, 0, 0
2, 36, 0, 0
2, 10, 0, 0
0, 32, 0, 0
0, 8, 0, 2
4, 20, 1, 1
5, 6, 4, 7
4, 7, 23, 31
2, 8, 1, 0
4, 8, 5, 31
0, 58, 0, 2
2, 14, 0, 0
2, 4, 0, 0
0, 2, 0, 1
2, 3, 3, 23
0, 5, 23, 23
4, 7, 27, 8
4, 11, 31, 23
0, 11, 31, 16
1, 4, 5, 23
1, 8, 0, 0
1, 38, 0, 0
3, 22, 0, 1
7, 1, 0, 0
24, 0, 0, 0
2, 21, 0, 0
0, 8, 0, 2
0, 48, 0, 0
0, 44, 0, 0
0, 16, 0, 0
24, 0, 0, 0
11, 0, 31, 3
3, 4, 15, 31
4, 10, 1, 3
4, 65, 0, 0
23, 0, 0, 2
2, 3, 4, 7
2, 24, 2, 0
0, 77, 2, 1
0, 20, 0, 0
2, 16, 2, 0
0, 40, 2, 0
2, 54, 0, 0
15, 0, 24, 0
3, 12, 2, 2
2, 52, 0, 0
27, 0, 0, 0
7, 0, 23, 1
0, 16, 0, 1
0, 57, 0, 0
31, 0, 0, 0
27, 0, 0, 0
0, 17, 0, 0
0, 50, 0, 0
0, 2, 0, 0
0, 82, 0, 0
0, 36, 0, 0
0, 7, 23, 23
15, 0, 0, 0
0, 48, 0, 0
0, 18, 0, 0
0, 13, 0, 0
0, 88, 0, 0
0, 52, 0, 0
2, 8, 0, 15
23, 0, 0, 0
1, 4, 0, 0
2, 64, 0, 0
2, 48, 0, 1
2, 38, 1, 0
0, 16, 0, 0
0, 8, 0, 2
2, 30, 2, 0
0, 6, 15, 23
0, 64, 0, 0
0, 52, 0, 0
27, 0, 0, 0
1, 15, 31, 23
2, 60, 2, 2
4, 8, 1, 11
0, 66, 0, 0
27, 0, 0, 0
2, 7, 23, 27
0, 5, 0, 1
0, 44, 1, 0
2, 34, 0, 0
0, 92, 0, 0
2, 15, 23, 23
2, 8, 0, 11
1, 69, 0, 0
0, 87, 0, 0
0, 50, 0, 0
7, 0, 27, 0
0, 32, 0, 1
0, 34, 0, 0
0, 48, 0, 0
0, 84, 0, 0
16, 0, 0, 0
2, 4, 0, 0
1, 24, 0, 0
0, 22, 0, 7
0, 3, 0, 15
2, 1, 31, 0
27, 0, 1, 0
2, 22, 0, 0
1, 22, 2, 0
0, 28, 2, 2
4, 13, 0, 0
0, 21, 0, 0
0, 53, 0, 0
2, 68, 0, 2
3, 23, 23, 16
31, 0, 0, 0
16, 0, 0, 0
24, 0, 0, 0
23, 0, 2, 0
0, 13, 0, 0
23, 0, 0, 0
27, 0, 0, 0
27, 0, 0, 0
23, 0, 0, 0
1, 6, 13, 23
0, 5, 11, 23
0, 8, 0, 15
0, 16, 0, 3
0, 6, 0, 1
0, 24, 0, 0
0, 40, 0, 0
4, 44, 0, 0
23, 0, 0, 0
1, 10, 1, 0
0, 44, 0, 0
0, 52, 0, 0
0, 46, 0, 0
0, 58, 0, 0
15, 0, 0, 0
0, 56, 0, 0
0, 12, 0, 15
0, 56, 0, 0
0, 48, 0, 0
1, 40, 0, 0
16, 0, 0, 0
2, 21, 2, 0
1, 68, 2, 0
2, 10, 23, 31
2, 36, 2, 0
0, 68, 0, 0
27, 0, 0, 0
1, 74, 0, 0
8, 0, 0, 0
0, 42, 0, 0
0, 49, 0, 0
4, 6, 15, 23
1, 5, 15, 23
0, 5, 19, 31
0, 4, 0, 0
23, 0, 0, 0
0, 53, 1, 2
4, 7, 23, 27
0, 56, 0, 0
0, 40, 2, 2
0, 58, 0, 0
0, 38, 0, 0
0, 32, 0, 0
0, 2, 0, 15
0, 60, 0, 0
23, 0, 0, 0
2, 76, 0, 0
1, 81, 0, 0
1, 64, 0, 0
2, 52, 0, 0
0, 36, 0, 1
0, 60, 2, 0
23, 0, 1, 0
0, 11, 23, 23
15, 0, 16, 0
2, 8, 15, 27
0, 8, 9, 31
0, 25, 0, 0
0, 10, 0, 15
0, 2, 0, 11
